"Geo_Code","Prov_Name","CSD_Name","total_pop","median_income","female_ratio","0_14y_ratio","15_24y_ratio","25_44y_ratio","45_over_ratio","non_movers_ratio","trade_cert_ratio","non_uni_dip_ratio","uni_dip_ratio","total_postsec_ratio","primary_ind_ratio","year","period"
"1001101","Newfoundland and Labrador","DIVISION NO. 1, SUBD. V","1","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,0
"1001105","Newfoundland and Labrador","PORTUGAL COVE SOUTH","  371","19532",0.4521,0.3425,0.3014,0.1781,0.2055,0.6964,0,0.1316,0.0526,0.1842,0.0909,1981,0
"1001109","Newfoundland and Labrador","BISCAY BAY"," 92","  0",0.4444,0.3333,0.1667,0.3889,0.1667,0.85,0.1667,0.1667,0,0.3333,0,1981,0
"1001113","Newfoundland and Labrador","TREPASSEY"," 1473","20280",0.4864,0.3333,0.1939,0.2585,0.2143,0.7805,0.0183,0.1463,0.0427,0.2073,0.0707,1981,0
"1001120","Newfoundland and Labrador","ST. SHOTT'S","239","  0",0.4681,0.3404,0.1489,0.2979,0.2553,0.8333,0,0,0.0667,0.0667,0.2222,1981,0
"1001124","Newfoundland and Labrador","DIVISION NO. 1, SUBD. U"," 2385","16470",0.4822,0.2893,0.2138,0.2411,0.2537,0.8565,0.0107,0.1495,0.0427,0.2028,0.0989,1981,0
"1001128","Newfoundland and Labrador","DIVISION NO. 1, SUBD. Z","  907","22064",0.4751,0.2983,0.2155,0.2486,0.2265,0.744,0.0192,0.3654,0.0192,0.4038,0.0875,1981,0
"1001131","Newfoundland and Labrador","RENEWS-CAPPAHAYDEN","  578","17035",0.4783,0.2696,0.1652,0.2348,0.3304,0.7658,0.0267,0.2,0.0267,0.2533,0.1111,1981,0
"1001136","Newfoundland and Labrador","FERMEUSE","  584","18971",0.5,0.2672,0.2586,0.2069,0.2672,0.8111,0.029,0.1594,0,0.1884,0.22,1981,0
"1001140","Newfoundland and Labrador","PORT KIRWAN","164","  0",0.4848,0.1818,0.2121,0.2727,0.3333,0.7273,0,0.0833,0,0.0833,0.2222,1981,0
"1001144","Newfoundland and Labrador","AQUAFORTE","200","  0",0.475,0.225,0.125,0.275,0.275,0.5882,0,0.12,0,0.12,0.1875,1981,0
"1001149","Newfoundland and Labrador","FERRYLAND","  795","14108",0.4654,0.2767,0.195,0.2516,0.2893,0.8261,0,0.1373,0.0392,0.1765,0.0625,1981,0
"1001155","Newfoundland and Labrador","DIVISION NO. 1, SUBD. W","  494","19902",0.4388,0.3163,0.2347,0.2347,0.2857,0.7545,0.0333,0.0833,0.05,0.1667,0.175,1981,0
"1001169","Newfoundland and Labrador","ST. VINCENT'S-ST. STEPHENS-PETER'S RIVER","  796","13859",0.4688,0.2938,0.2562,0.2062,0.225,0.7874,0,0.0353,0.0353,0.0706,0.0755,1981,0
"1001174","Newfoundland and Labrador","GASKIERS-POINT LA HAYE","  505","14929",0.4851,0.3366,0.1683,0.2574,0.2574,0.8447,0.0351,0.1579,0,0.193,0,1981,0
"1001178","Newfoundland and Labrador","ST. MARY'S","  701","12005",0.5035,0.3333,0.1844,0.227,0.234,0.7311,0.0263,0.1053,0.0263,0.1579,0.1875,1981,0
"1001181","Newfoundland and Labrador","RIVERHEAD","  431","13791",0.4943,0.2989,0.2184,0.2299,0.2414,0.8352,0,0.1304,0,0.1304,0.2,1981,0
"1001186","Newfoundland and Labrador","ADMIRAL'S BEACH","  362","21824",0.4861,0.3333,0.25,0.1806,0.2083,0.9474,0.0588,0.1765,0,0.2353,0.3667,1981,0
"1001192","Newfoundland and Labrador","ST. JOSEPH'S","  262","10907",0.5094,0.2642,0.2075,0.1509,0.3396,0.898,0.0714,0.1786,0.0714,0.3214,0,1981,0
"1001197","Newfoundland and Labrador","MOUNT CARMEL-MITCHELL'S BROOK-ST. CATHERINE'S","  699","14479",0.4965,0.3262,0.1631,0.234,0.2624,0.7339,0,0.15,0.05,0.2,0.1087,1981,0
"1001203","Newfoundland and Labrador","DIVISION NO. 1, SUBD. X","  495","10981",0.4747,0.3232,0.1919,0.2323,0.2626,0.7308,0.0357,0.1786,0,0.2143,0.1429,1981,0
"1001207","Newfoundland and Labrador","COLINET","  318","14295",0.5,0.3281,0.2031,0.25,0.2344,0.6182,0.0588,0.1176,0.0588,0.2353,0.3158,1981,0
"1001214","Newfoundland and Labrador","DIVISION NO. 1, SUBD. C","337","  0",0.4265,0.3382,0.1618,0.2353,0.2353,0.9333,0,0.0811,0,0.0811,0,1981,0
"1001219","Newfoundland and Labrador","BRANCH","  462"," 9390",0.4565,0.2609,0.2065,0.1957,0.3152,0.8108,0.0536,0.0357,0.0357,0.125,0.1026,1981,0
"1001225","Newfoundland and Labrador","POINT LANCE","141","  0",0.4286,0.2857,0.25,0.25,0.2143,0.8,0,0,0,0,0.2667,1981,0
"1001228","Newfoundland and Labrador","ST. BRIDE'S","  599","15005",0.475,0.3083,0.225,0.2167,0.2583,0.8374,0,0.0441,0.0441,0.0882,0.1607,1981,0
"1001234","Newfoundland and Labrador","DIVISION NO. 1, SUBD. B","  680","12948",0.4964,0.3139,0.2555,0.2263,0.1898,0.6897,0.0282,0.1408,0,0.169,0.0952,1981,0
"1001239","Newfoundland and Labrador","PLACENTIA"," 2204","17513",0.4898,0.2744,0.2132,0.2222,0.2834,0.7536,0.0269,0.1923,0.05,0.2692,0.0882,1981,0
"1001243","Newfoundland and Labrador","FRESHWATER"," 1276","12731",0.4766,0.3125,0.2227,0.2383,0.2227,0.7613,0.0576,0.1295,0.0144,0.2014,0.0526,1981,0
"1001246","Newfoundland and Labrador","JERSEY SIDE, PLACENTIA BAY","  641","13232",0.4609,0.2969,0.2422,0.2188,0.25,0.7544,0.0423,0.2394,0.0282,0.3099,0.0426,1981,0
"1001250","Newfoundland and Labrador","DUNVILLE"," 1817","20502",0.4973,0.3049,0.2033,0.294,0.2005,0.6629,0.0521,0.2085,0.0616,0.3223,0.0748,1981,0
"1001254","Newfoundland and Labrador","FOX HARBOUR","  538","16558",0.4673,0.271,0.2336,0.2243,0.2523,0.9474,0,0.082,0,0.082,0.0741,1981,0
"1001259","Newfoundland and Labrador","DIVISION NO. 1, SUBD. A"," 1162","14632",0.4741,0.3405,0.1983,0.2457,0.2198,0.8174,0.0714,0.1032,0.0238,0.1984,0.2791,1981,0
"1001263","Newfoundland and Labrador","LONG HARBOUR-MOUNT ARLINGTON HEIGHTS","  660","18202",0.4697,0.2879,0.197,0.2424,0.2652,0.8067,0.038,0.1646,0.0253,0.2278,0.1081,1981,0
"1001267","Newfoundland and Labrador","SOUTHERN HARBOUR","  772","18975",0.4805,0.3506,0.2078,0.2532,0.1883,0.8176,0.0244,0.1829,0.0488,0.2561,0.2469,1981,0
"1001270","Newfoundland and Labrador","ARNOLD'S COVE"," 1124","21511",0.5111,0.2978,0.1911,0.2622,0.2444,0.7606,0.0376,0.1729,0,0.2105,0.1919,1981,0
"1001274","Newfoundland and Labrador","COME-BY-CHANCE","  337","17743",0.5294,0.2941,0.2353,0.25,0.2353,0.5625,0,0.2,0,0.2,0.2727,1981,0
"1001277","Newfoundland and Labrador","SUNNYSIDE","  703","17058",0.4823,0.3191,0.1489,0.2979,0.227,0.8208,0,0.1111,0,0.1111,0.1892,1981,0
"1001281","Newfoundland and Labrador","CHANCE COVE","  498","17942",0.5,0.33,0.19,0.29,0.19,0.7901,0,0.0536,0,0.0536,0.275,1981,0
"1001285","Newfoundland and Labrador","NORMAN'S COVE-LONG COVE"," 1152","18504",0.4696,0.3304,0.1783,0.2739,0.213,0.7668,0,0.1473,0.0155,0.1628,0.1528,1981,0
"1001289","Newfoundland and Labrador","CHAPEL ARM","  689","18013",0.4928,0.3406,0.1884,0.2391,0.2246,0.8468,0.0263,0.1447,0,0.1711,0,1981,0
"1001293","Newfoundland and Labrador","DIVISION NO. 1, SUBD. Y"," 1171","15693",0.5214,0.3205,0.1795,0.2991,0.1923,0.7051,0.0305,0.1679,0.0458,0.2443,0.0323,1981,0
"1001298","Newfoundland and Labrador","WHITBOURNE"," 1233","18498",0.4818,0.3158,0.1741,0.2591,0.251,0.744,0.0141,0.1338,0.0493,0.1972,0.1019,1981,0
"1001304","Newfoundland and Labrador","DIVISION NO. 1, SUBD. E"," 3296","15149",0.4962,0.3111,0.1821,0.2625,0.2458,0.7496,0.0129,0.1108,0.0309,0.1546,0.1313,1981,0
"1001308","Newfoundland and Labrador","WHITEWAY","  291","13304",0.5,0.2759,0.2414,0.2759,0.2414,0.625,0,0.2,0,0.2,0.1,1981,0
"1001312","Newfoundland and Labrador","HEART'S DELIGHT-ISLINGTON","  899","14247",0.5028,0.2849,0.1955,0.2346,0.2849,0.6561,0,0.0926,0.037,0.1296,0.0339,1981,0
"1001316","Newfoundland and Labrador","HEART'S DESIRE","  416","12715",0.4762,0.3214,0.2262,0.2619,0.1786,0.6667,0,0.1556,0,0.1556,0.0606,1981,0
"1001321","Newfoundland and Labrador","DIVISION NO. 1, SUBD. F","  826","14601",0.497,0.2303,0.1636,0.2242,0.3818,0.7548,0,0.0721,0.0541,0.1261,0.0769,1981,0
"1001325","Newfoundland and Labrador","HEART'S CONTENT","  625","13262",0.496,0.296,0.184,0.248,0.288,0.7917,0.0519,0.1039,0,0.1558,0.175,1981,0
"1001328","Newfoundland and Labrador","NEW PERLICAN"," 350","8040",0.4857,0.2571,0.1143,0.1857,0.4429,0.8889,0,0.0417,0,0.0417,0,1981,0
"1001332","Newfoundland and Labrador","WINTERTON","  753","15152",0.5166,0.2384,0.1391,0.2252,0.4106,0.7655,0.0196,0.0686,0,0.0882,0.0667,1981,0
"1001335","Newfoundland and Labrador","HANT'S HARBOUR","  542","18600",0.4815,0.25,0.1759,0.2407,0.3426,0.7087,0,0.1096,0.0411,0.1507,0.1837,1981,0
"1001339","Newfoundland and Labrador","DIVISION NO. 1, SUBD. G"," 3067","11515",0.4853,0.2329,0.1889,0.2248,0.3502,0.7478,0.0149,0.1141,0.0273,0.1563,0.1441,1981,0
"1001343","Newfoundland and Labrador","OLD PERLICAN","  709","15500",0.507,0.2606,0.162,0.2465,0.3169,0.7903,0.0225,0.0787,0,0.1011,0.3036,1981,0
"1001347","Newfoundland and Labrador","BAY DE VERDE","  786","12311",0.4713,0.2611,0.1783,0.2484,0.3057,0.7959,0,0.1078,0,0.1078,0.2698,1981,0
"1001352","Newfoundland and Labrador","SMALL POINT-BROAD COVE-BLACKHEAD-ADAMS COVE","  539","12411",0.4722,0.2037,0.1667,0.1852,0.4352,0.7549,0.0411,0.137,0.0548,0.2329,0.0833,1981,0
"1001357","Newfoundland and Labrador","DIVISION NO. 1, SUBD. H","  562","12518",0.5,0.2589,0.2143,0.2321,0.2857,0.5922,0.029,0.1594,0.029,0.2174,0.102,1981,0
"1001361","Newfoundland and Labrador","SALMON COVE","  786","13640",0.4873,0.2848,0.1772,0.2785,0.2595,0.7898,0.0309,0.134,0,0.1649,0.0541,1981,0
